publication_id,title,authors,year,journal,doi,pmid,pmcid,source_file,file_type,chunk_count
2,"Inflammation, antiretroviral therapy continuation, and HIV disease progression in postpartum women with HIV","Shivakoti R, Giganti MJ, Lederman MM, Ketchum R, Brummel S, Moisi D, Matubu AT, Dadabhai S, Moodley D, Violari A, Chinula L, Owor M, Gupta A, Taha TE, Flynn PM, Currier JS, Fowler MG; PROMISE study team",2025,J Acquir Immune Defic Syndr,10.1097/QAI.0000000000003703,40476693,PMC12925601,2_Inflammation_antiretroviral_therapy_continuation_and_HIV_dis.txt,txt,14
4,SARS-CoV-2 seropositivity in African women living with HIV and their infants,"Matubu TA, Yende-Zuma N, Brummel SS, Stranix-Chibanda L, Ogwang LW, Dadabhai S, Atuhaire P, Chauwa F, Gadama L, Fernandez RE, Aizire J, Jackson J, Tobian AAR, Taha TE, Fowler MG",2024,BMC Infect Dis,10.1186/s12879-024-09591-8,38992577,PMC11241888,4_SARS_CoV_2_seropositivity_in_African_women_living_with_HIV_a.pdf,pdf,19
5,Unintended pregnancy and contraception use among African women living with HIV: Baseline analysis of the multi-country US PEPFAR PROMOTE cohort,"Aizire J, Yende-Zuma N, Hanley S, Nematadzira T, Nyati MM, Dadabhai S, Chinula L, Nakaye C, Fowler MG, Taha T, US-PEPFAR PROMOTE Cohort Study team",2024,Plos one,10.21203/rs.3.rs-1728922/v1,36284789,PMC9542588,5_Unintended_pregnancy_and_contraception_use_among_African_wom.pdf,pdf,17
6,"Effects of preterm birth, maternal ART and breastfeeding on 24-month infant HIV-free survival in a randomized trial","Dadabhai S, Chou VB, Pinilla M, Chinula L, Owor M, Violari A, Moodley D, Stranix-Chibanda L, Matubu TA, Chareka GT, Theron G, Kinikar AA, Mubiana-Mbewe M, Fairlie L, Bobat R, Mmbaga BT, Flynn PM, Taha TE, McCarthy KS, Browning R, Mofenson LM, Brummel SS, Fowler MG; IMPAACT PROMISE 1077BF/FF team",2024,AIDS,10.1097/QAD.0000000000003878,38427596,PMC11211053,6_Effects_of_preterm_birth_maternal_ART_and_breastfeeding_on_2.txt,txt,13
7,Systemic inflammation in pregnant women with HIV: relationship with HIV treatment regimen and preterm delivery,"Shivakoti R, Giganti MJ, Lederman MM, Ketchum R, Brummel S, Moisi D, Dadabhai S, Moodley D, Violari A, Chinula L, Owor M, Gupta A, Currier JS, Taha TE, Fowler MG; PROMISE study team",2024,AIDS,10.1097/QAD.0000000000003877,38411599,PMC11139235,7_Systemic_inflammation_in_pregnant_women_with_HIV_relationshi.txt,txt,14
8,Intimate partner violence and excess fertility among women of reproductive age in Malawi,"Dadabhai S, Quaynor L, Bandala-Jacques A, Seyama L, Rahman MH, Phiri R, Decker MR, Taha TE",2024,PLoS ONE,10.1371/journal.pone.0297959,38277363,PMC10817113,8_Intimate_partner_violence_and_excess_fertility_among_women_o.pdf,pdf,18
9,Breastfeeding Among Women Living With HIV in the Era of Lifelong ART: An Observational Multicountry Study in Eastern and Southern Africa,"Taha TE, Bandala-Jacques A, Yende-Zuma N, Violari A, Stranix-Chibanda L, Atuhaire P, Hanley S, Gadama L, Chinula L, Dadabhai S, Aizire J, Brummel SS, Fowler MG",2024,J Acquir Immune Defic Syndr,10.1097/QAI.0000000000003306,37732877,PMC10840656,9_Breastfeeding_Among_Women_Living_With_HIV_in_the_Era_of_Life.txt,txt,13
10,A Sequalae of Lineage Divergence in Staphylococcus aureusfrom Community-Acquired Patterns in Youth to Hospital-Associated Profiles in Seniors Implied Age-Specific Host-Selection from a Common Ancestor,"Said, K.B.; AlGhasab, N.S.; Alharbi, M.S.M.; Alsolami, A.; Bashir, A.I.; Saleem, M.; Syed Khaja, A.S.; Aldakheel, D.F.; Rakha, E.; Alshamri, J.A.; Al-hazimi, A.; Alrodhaiman, A.J.; Taha, T.E.; Alanazi, H.H.; on behalf of the Ha’il COM Research Unit Group",2023,Diagnostics,10.3390/diagnostics13050819,36899963,PMC10001379,10_A_Sequalae_of_Lineage_Divergence_in_Staphylococcus_aureusfro.txt,txt,15
11,"Self-Reported Antiretroviral Adherence: Association with Maternal Viral Load Suppression in Postpartum Women Living with HIV-1 from Promoting Maternal and Infant Survival Everywhere (PROMISE), a Randomized Controlled Trial in Sub-Saharan Africa and India","Neetal Nevrekar, Kevin Butler, David E. Shapiro, Patience Atuhaire, Taha E Taha, Bonus Makanani, Lameck Chinula, Maxensia Owor, Dhayendre Moodley, Tsungai Chipato, Katie McCarthy, Patricia M. Flynn, Judith Currier, Mary Glenn Fowler, Amita Gupta, Nishi Suryavanshi",2023,J Acquir Immune Defic Syndr,10.1097/QAI.0000000000003102,36170749,PMC9722360,11_Self_Reported_Antiretroviral_Adherence_Association_with_Mate.txt,txt,12
12,Molecular and Source-Specific Profiling of Hospital Staphylococcus aureus Reveal Dominance of Skin Infection and Age-Specific Selections in Pediatrics and Geriatrics,"Said KB, Alghasab NS, Alharbi MSM, Alsolami A, Saleem M, Alhallabi SA, Alafnan SF, Khaja ASS, Taha TE, On Behalf Of The Ha'il Com Research Unit Group",2023,Microorganisms,10.3390/microorganisms11010149,36677441,PMC9862673,12_Molecular_and_Source_Specific_Profiling_of_Hospital_Staphylo.txt,txt,17
13,Severe Acute Respiratory Syndrome Coronavirus 2 Infection and Pregnancy in Sub-Saharan Africa: A 6-Country Retrospective Cohort Analysis,"Nachega JB, Sam-Agudu NA, Machekano RN, ……. Taha TE, ….. AFREhealth Research Collaboration on COVID-19 and Pregnancy",2022,Clin Infect Dis,10.1093/cid/ciac294,36130257,PMC9214158,13_Severe_Acute_Respiratory_Syndrome_Coronavirus_2_Infection_an.txt,txt,19
15,Growth deficits in antiretroviral and HIV-exposed uninfected versus unexposed children in Malawi and Uganda persist through 60 months of age,"Fowler MG, Jim Aizire, Alla Sikorskii, Patience Atuhaire, Lillian Wambuzi Ogwang, Alex Mutebe, Chaplain Katumbi, Limbika Maliwichi, Itziar Familiar, Taha Taha, Michael J Boivin, the PROMISE-NEURODEV study team (2022)",2022,AIDS,10.1097/QAD.0000000000003122,34750297,PMC9097628,15_Growth_deficits_in_antiretroviral_and_HIV_exposed_uninfected.txt,txt,14
16,Pregnancy rates and clinical outcomes among women living with HIV enrolled in HPTN 052,"Zangeneh SZ, Wilson EA, Ahluwalia S, Donnell DJ, Chen YQ, Grinsztejn B, Melo MG, Godbole SV, Hosseinipour MC, Taha T, Kumwenda J, McCauley M, Cohen MS, Nielsen-Saines K",2022,AIDS Care,10.1080/09540121.2022.2141187,36524872,PMC10191867,16_Pregnancy_rates_and_clinical_outcomes_among_women_living_wit.txt,txt,11
