publication_id,title,authors,year,journal,doi,pmid,pmcid,enrichment_status,publisher_url,pdf_url,notes
1,Neurocognitive functioning in women with HIV: a comparative study in a low/middle-income country,"Buckley J, Cassim H, Otwombe K, Hlongwane K, Yende-Zuma N, Joyce C, Leshabane G, Galvin L, Ramsammy CW, Brummel SS, Aizire J, Taha TE, Fowler MG, Violari, A, PROMOTE study team",2025,AIDS,10.1097/qad.0000000000004277,40549497,,full,https://doi.org/10.1097/qad.0000000000004277,,Manual retrieval required - no open-access source found
3,Bone mineral density changes in breastfeeding women living with HIV on antiretroviral therapy in Eastern and Southern Africa,"Matovu Kiweewa F, Stranix-Chibanda L, Yende-Zuma N, Dadabhai S, Owor M, Hanley S, Nyati M, Chinula L, Pettifor JM, Brummel SS, Aizire J, Taha TE, Brown TT, Fowler MG; Maternal Bone Health Study team",2025,AIDS,10.1097/QAD.0000000000004148,39918445,PMC12455725,full,https://doi.org/10.1097/qad.0000000000004148,https://pubmed.ncbi.nlm.nih.gov/39918445/,PMC available: PMC12455725; PDF URL available
14,Impact of Motivational Enhanced Adherence Counseling and Point-of-Care Viral Load Monitoring on Viral Load Outcome in Women on Life-Long ART: A Randomized Pilot Study,"Mutambanengwe-Jacob, M. T., Maponga, C. C., Amico, K. R., Ngara, B., Yende-Zuma, N., Chawana, T. D., Nematadzira, T., Gumbo, J. F., Goverayi, T., Matibe, P., Malunda, B. V., Aizire, J., Taha, T. E., Fowler, M. G., & Stranix-Chibanda, L",2022,AIDS Research and Treatment,10.1155/2022/488720,,,partial,,,Manual retrieval required - no open-access source found
21,"Molecular diagnosis, antimicrobial resistance profiles and disease patterns of gram-positive pathogens recovered from clinical infections in major ha’il hospitals","Kamaleldin B. Said, Ahmed Alsolami, Amany M. Khalifa, Nuha A. Khalil, Soha Moursi, Ehab Rakha, Abuzar Osma, Musleh Rashidi, Taha E. Taha, Abdelhafiz I. Bashir, Safia Mouss, Ahmed Al Jadani, Hatem Nagi, Prof. Mohammed Kuddus, Obaid M Alrashedi, Amar S. Alharbi, Abdulrahman Alraraj, Ruba M Elsaid",2022,Microbiology Research,10.3390/microbiolres13010004,,,full,https://doi.org/10.3390/microbiolres13010004,https://www.mdpi.com/2036-7481/13/1/4/pdf?version=1643126305,PDF URL available
27,Comparison of adverse birth outcome in HIV-infected and HIV-uninfected women delivering in high- and low-risk settings in the era of universal ART in Malawi: A registry study,"Rachel Chamanga Kanyenda, Chaplain Katumbi, Luis Gadama, Rachel Kawalazira, Dingase Dula, Bonus Makanani, Sufia Dadabhai and Taha E Taha",2021,Paediatrics and International Child Health,10.1080/20469047.2021.1874200,33881967,,full,https://doi.org/10.1080/20469047.2021.1874200,,Manual retrieval required - no open-access source found
28,Impact of antiretroviral therapy on maternal health after cessation of breastfeeding,"Sean S. Brummel, Taha E. Taha, Konstantia (Nadia) Angelidou, Friday Saidi, Patience Atuhaire, Dingase Dula, Dhayendre Moodley, Allen Matubu, Gift Chareka R, Neetal Nevrekar, Tichaona Vhembo, Lee Fairlie, Gerhard Theron, Pendo Mlay, Felistas Mbewe, Kathleen George, Michael Basar, Nahida Chakhtoura, Renee Browning, Mary Glenn Fowler & Judith S Currier, for the IMPAACT 1077BF/FF PROMISE Study Team",2021,JAIDS,10.1097/QAI.0000000000002586,33273210,PMC8143379,full,https://doi.org/10.1097/qai.0000000000002586,https://www.ncbi.nlm.nih.gov/pmc/articles/8143379,PMC available: PMC8143379; PDF URL available
31,Decreased growth among antiretroviral drug and HIV-exposed uninfected versus unexposed children in Malawi and Uganda,"Aizire J, All Sikorski, Lillian Wambuzi Ogwang, Rachel Kawalazira, Alex Mutebe, Itziar Familiar-Lopez, MacPherson Mallewa, Taha Taha, Michael J. Boivin, Mary Glenn Fowler, for the PROMISE-NEURODEV study team",2020,AIDS,10.1097/qad.0000000000002405,31634154,PMC7487261,full,https://doi.org/10.1097/qad.0000000000002405,https://www.ncbi.nlm.nih.gov/pmc/articles/7487261,PMC available: PMC7487261; PDF URL available
34,Risk Factors for Adverse Birth Outcomes in the PROMISE 1077BF Trial,"Sebikari D, Farhad M, Fenton T, Owor M, Stringer JSA, Qin M, Chaktoura N, Chi BH, Saidi F, Nevrekar N, Violari A, Chipato T, McIntyre JA, Moodley D, Taha TE, Theron G, Fowler MG",2019,JAIDS,10.1097/qai.0000000000002072,31295174,PMC6702964,full,https://doi.org/10.1097/qai.0000000000002072,https://www.ncbi.nlm.nih.gov/pmc/articles/6702964,PMC available: PMC6702964; PDF URL available
40,Response to “Antiretroviral therapy for pregnant women living with HIV or hepatitis B: a systematic review and meta-analysis”: Letter to the Editor,"Fowler MG, Mofenson LM, Flynn PM, Taha TE",2017,BMJ Open,,,,not_found,,,Not found in Crossref / PubMed
41,Antiretroviral Therapy for Perinatal HIV Prevention,"Fowler MG, Mofenson LM, Taha TE",2017,New England Journal of Medicine,10.1097/01.aoa.0000521253.11653.d9,,,full,https://doi.org/10.1097/01.aoa.0000521253.11653.d9,,Manual retrieval required - no open-access source found
42,Benefits and Risks of Antiretroviral Therapy for Perinatal HIV Prevention,"Fowler MG, Qin M, Fiscus SA, Currier JS, Flynn PM, Chipato T, McIntyre J, Gnanashanmugam D, Siberry GK, Coletti AS, Taha TE, Klingman KL, Martinson FE, Owor M, Violari A, Moodley D, Theron GB, Bhosale R, Bobat R, Chi BH, Strehlau R, Mlay P, Loftis AJ, Browning R, Fenton T, Purdue L, Basar M, Shapiro DE, Mofenson LM; the (IMPAACT) 1077BF/1077FF PROMISE Study Team",2016,New England Journal of Medicine,10.1097/01.aoa.0000521253.11653.d9,,,full,https://doi.org/10.1097/01.aoa.0000521253.11653.d9,,Manual retrieval required - no open-access source found
44,Climate change and potential impact on disease: What is the public health agenda? Saudi Journal of Medicine and Medical Sciences 2016; 4(2):71,Taha TE,2016,,,,,not_found,,,Not found in Crossref / PubMed
45,Use of a Vaginal Ring Containing Dapivirine for HIV-1 Prevention in Women,"Baeten JM, Palanee-Phillips T, Brown ER, Schwartz K, Soto-Torres LE, Govender V, Mgodi NM, Kiweewa FM, Nair G, Mhalanga F, Siva S, Bekker LG, Jeenarain N, Gaffoor Z, Martinson F, Makanani B, Pather A, Naidoo L, Husnik M, Richardson BA, Parikh UM, Mellors JW, Marzinke MA, Hendrix CW, van der Straten A, Ramjee G, Chirenje ZM, Nakabiito C, Taha, TE, Jones J, Mayo A, Scheckter R, Berthiaume J, Livant E, Jacobson C, Ndase P, White R, Patterson K, Germuga D, Galaska B, Bunge K, Singh D, Szydlo DW, Montgomery ET, Mensch BS, Torjesen K, Grossman CI, Chakhtoura N, Nel A, Rosenberg Z, McGowan I, Hillier S; MTN-20-ASPIRE Study Team",2016,New England Journal of Medicine,10.1097/01.ogx.0000489577.60775.40,,,partial,https://doi.org/10.1097/01.ogx.0000489577.60775.40,,Manual retrieval required - no open-access source found
47,Evaluation of postpartum HIV superinfection and mother-to child transmission,"Redd AD, Wendel SKJ, Longosz AF, Fogel JM, Dadabhai S, Kumwenda N, Sun J, Walker M, Bruno D, Martens C, Eshleman SH, Porcella SF, Quinn TC, Taha TE",2015,AIDS,10.1097/qad.0000000000000740,26244396,PMC4609898,full,https://doi.org/10.1097/qad.0000000000000740,,PMC available: PMC4609898
51,Pharmacokinetics and Safety of Tenofovir in HIV-infected Women during Labor and their Infants During the First Week of Life,"Mirochnick M, Taha T, Kreitchmann R, Nielsen-Saines K, Kumwenda N, Joao E, Pinto J, Santos B, Parsons T, Kearney B, Emel L, Herron C, Richardson P, Hudelson SE, Eshleman SH, George K, Fowler MG, Sato P, Mofenson L, HPTN 057 Protocol Team",2014,JAIDS,10.1097/qai.0b013e3182a921eb,23979002,PMC3912736,full,https://doi.org/10.1097/qai.0b013e3182a921eb,https://www.ncbi.nlm.nih.gov/pmc/articles/3912736,PMC available: PMC3912736; PDF URL available
56,Vitamin D Levels in Malawian Infants from birth to 24 months,"Amukele TK, Soko D, Katundu P, Kamamnga M, Sun J, Kumwenda NI, Taha TE",2013,"2013, Archives of Disease in Childhood",10.1136/archdischild-2012-302377,23220204,,full,https://doi.org/10.1136/archdischild-2012-302377,,Manual retrieval required - no open-access source found
57,Perspective of African-Based Research on HIV-1 Transmission through Breastfeeding: The Malawi Experience,Taha TE,2012,Chapter,10.1007/978-1-4614-2251-8_16,22454353,,partial,https://doi.org/10.1007/978-1-4614-2251-8_16,,Manual retrieval required - no open-access source found
63,High Pregnancy Intentions and Missed Opportunities for Patient-Provider Communication about Fertility in a South African Cohort of HIV- Positive Women on Antiretroviral Therapy,"Schwartz SR, Mehta SH, Taha TE, Rees HV, Venter F, Black V",2012,AIDS Behavior,10.1007/s10461-011-9981-3,21656145,,full,https://doi.org/10.1007/s10461-011-9981-3,,Manual retrieval required - no open-access source found
68,Post-Exposure Prophylaxis of Breastfeeding HIV-Exposed Infants with Antiretroviral Drugs to Age 14 Weeks: Updated Efficacy Results of the PEPI-Malawi Trial,"Taha TE, Li Q, Hoover DR, Mipando L, Nkanaunena K, Thigpen M, Taylor A, Kumwenda J, Fowler MG, Mofenson L, Kumwenda N",2011,Journal of Acquired Immune Deficiency Syndrome,10.1097/qai.0b013e318217877a,21423025,,full,https://doi.org/10.1097/qai.0b013e318217877a,,Manual retrieval required - no open-access source found
70,Coverage of Highly Active Antiretroviral Therapy (HAART) Among Postpartum Women in Malawi,"Kumwenda J, Matchere F, Mataya R, Chen S, Mipando L, Li Q, Kumwenda N, Taha TE",2011,International Journal of STD and AIDS,10.1258/ijsa.2011.010359,21729953,,full,https://doi.org/10.1258/ijsa.2011.010359,,Manual retrieval required - no open-access source found
73,Safety and effectiveness of BufferGel and 0.5% PRO2000 gel for the prevention of HIV infection in women,"Abdool Karim SS, Richardson BA, Ramjee G,Hoffman IF, Chirenje ZM, Taha T, Kapina M, Maslankowski L, Coletti A, Profy A, Moench TR, Piwowar-Manning E, Mâsse B, Hillier SL, Soto-Torres L; on behalf of the HIV Prevention Trials Network (HPTN) 035 Study Team",2011,AIDS,10.1097/qad.0b013e32834541d9,21330907,PMC3083640,full,https://doi.org/10.1097/qad.0b013e32834541d9,https://doi.org/10.7916/d8sn0kkc,PMC available: PMC3083640; PDF URL available
74,"Mother-to-child transmission of HIV-1 in sub-Saharan Africa: Past, present and future challenges",Taha TE,2011,Life Sciences,10.1016/j.lfs.2010.09.031,20933522,,full,https://doi.org/10.1016/j.lfs.2010.09.031,,Manual retrieval required - no open-access source found
77,The effect of Human Immunodeficiency Virus and Breastfeeding on the Nutritional Status of African Children,"Taha TE, Nour S, Li Q, Kumwenda N, Kafulafula G, Nkhoma C, Broadhead R",2010,The Pediatric Infectious Disease Journal,10.1097/inf.0b013e3181cda531,20054287,,full,https://doi.org/10.1097/inf.0b013e3181cda531,,Manual retrieval required - no open-access source found
78,Resumption of Sexual Activity and Regular Menses Postpartum Among HIV-1 Infected African Women,"Makanani B, Kumwenda J, Kumwenda N, Chen S, Tsui A, Taha TE",2010,International Journal of Gynecology and Obstetrics,10.1016/j.ijgo.2009.08.014,19782980,,full,https://doi.org/10.1016/j.ijgo.2009.08.014,,Manual retrieval required - no open-access source found
79,Frequency of Gastroenteritis-Associated Mortality with Early Weaning in HIV-I-Uninfected Children Born to HIV-Infected Women in Malawi,"Kafulafula G, Hoover DR, Taha TE, Thigpen M, Li Q, Fowler MG, Kumwenda NI, Nkanaunena K, Mipando L, Mofenson LM",2010,Journal of Acquired Immune Deficiency Syndrom,10.1097/qai.0b013e3181bd5a47,19844183,,full,https://doi.org/10.1097/qai.0b013e3181bd5a47,,Manual retrieval required - no open-access source found
81,Postnatal HIV-1 Transmission after Cessation of Extended Infant Antiretroviral Prophylaxis and Effect of Maternal HAART,"Taha TE, Kumwenda J, Cole SR, Hoover DR, Kafulafula G, Fowler MG, Thigpen MC, Li Q, Kumwenda NI, Mofenson L",2009,Journal of Infectious Disease,10.1086/644598,19832114,,full,https://doi.org/10.1086/644598,,Manual retrieval required - no open-access source found
83,Placental Malaria and Mother-To-Child Transmission of HIV-1,"Msamanga GI, Taha TE, Young AM, Brown ER, Hoffman IF, Read JS, Mudenda V, Goldenberg RL, Sharma U, Sinkala M, Fawzi WW",2009,American Journal of Tropical Medicine and Hygiene,10.4269/ajtmh.2009.80.508,,,full,https://doi.org/10.4269/ajtmh.2009.80.508,http://www.ajtmh.org/deliver/fulltext/14761645/80/4/508.pdf?itemId=%2Fcontent%2Fjournals%2F10.4269%2Fajtmh.2009.80.508&mimeType=pdf&containerItemId=content/journals/14761645,PDF URL available
